emp_no,title,salary
10001,Senior Engineer,60117
10004,Senior Engineer,40054
10009,Senior Engineer,60929
10018,Senior Engineer,55881
10035,Senior Engineer,41538
10053,Senior Staff,67854
10058,Senior Staff,52787
10066,Senior Engineer,69736
10067,Senior Engineer,44642
10070,Technique Leader,55999
10072,Senior Engineer,40000
10076,Senior Engineer,47319
10088,Senior Staff,65957
10100,Senior Staff,54398
10103,Engineer,68158
10108,Staff,40000
10116,Senior Engineer,44034
10126,Senior Staff,40000
10129,Technique Leader,40000
10130,Senior Engineer,40000
10134,Senior Engineer,40000
10138,Senior Engineer,53574
10149,Staff,88740
10150,Senior Engineer,70122
10152,Engineer,40000
10153,Assistant Engineer,54246
10157,Senior Engineer,48770
10161,Engineer,43149
10186,Staff,40000
10198,Senior Engineer,44076
10215,Senior Staff,43944
10217,Technique Leader,40000
10224,Senior Engineer,40000
10229,Engineer,58321
10233,Senior Staff,40000
10258,Senior Engineer,66280
10272,Staff,58070
10282,Engineer,40000
10283,Senior Engineer,40000
10286,Staff,40000
10302,Senior Staff,58239
10305,Engineer,52550
10326,Staff,40000
10327,Engineer,54734
10340,Senior Staff,68132
10347,Staff,42199
10355,Staff,70434
10356,Senior Staff,45376
10363,Assistant Engineer,40401
10364,Senior Engineer,51401
10372,Technique Leader,54505
10387,Senior Staff,61374
10395,Engineer,42774
10396,Senior Engineer,40393
10402,Technique Leader,40000
10404,Senior Engineer,51647
10426,Technique Leader,65757
10429,Senior Engineer,40000
10432,Senior Staff,40000
10442,Senior Staff,46005
10451,Senior Engineer,46275
10453,Senior Staff,40000
10463,Staff,66480
10466,Staff,55318
10486,Senior Engineer,71692
10494,Senior Engineer,50094
10504,Staff,43931
10512,Senior Staff,40000
10519,Senior Staff,40000
10522,Senior Staff,40000
10538,Senior Engineer,72002
10541,Staff,50741
10548,Senior Staff,90631
10564,Senior Engineer,46660
10575,Senior Engineer,40523
10591,Staff,55131
10608,Senior Engineer,40000
10617,Senior Staff,40000
10623,Senior Engineer,60268
10628,Senior Engineer,41650
10629,Staff,87045
10631,Engineer,40000
10642,Engineer,40000
10653,Senior Engineer,40000
10671,Senior Staff,74037
10672,Senior Engineer,64663
10676,Engineer,58226
10693,Senior Staff,40000
10694,Senior Staff,53020
10702,Senior Engineer,46581
10718,Senior Engineer,75473
10726,Senior Engineer,46315
10731,Senior Staff,77892
10734,Engineer,47377
10745,Senior Engineer,40000
10749,Senior Engineer,60829
10751,Engineer,50052
10767,Staff,40651
10768,Senior Engineer,65717
10777,Senior Engineer,40000
10778,Senior Staff,64996
10791,Senior Engineer,40000
10795,Senior Staff,84206
10803,Senior Engineer,54260
10808,Senior Engineer,40000
10835,Engineer,40000
10836,Senior Staff,65502
10844,Engineer,40000
10847,Senior Staff,40000
10848,Senior Engineer,50475
10867,Engineer,40000
10878,Staff,72102
10879,Senior Engineer,65651
10883,Engineer,40000
10895,Staff,67103
10909,Senior Engineer,80935
10912,Senior Staff,45665
10918,Staff,59521
10921,Senior Engineer,72601
10924,Senior Staff,84783
10927,Senior Staff,51819
10936,Senior Staff,40000
10943,Senior Engineer,45890
10965,Senior Staff,61654
10969,Senior Engineer,40000
10974,Senior Engineer,56005
10986,Technique Leader,43900
10988,Senior Engineer,54174
10989,Senior Staff,46406
10990,Technique Leader,40000
11009,Senior Staff,75111
11012,Staff,72092
11019,Senior Engineer,69387
11021,Staff,62670
11027,Senior Engineer,40000
11028,Senior Engineer,41111
11031,Senior Staff,71654
11037,Senior Engineer,40000
11038,Senior Staff,44993
11042,Senior Engineer,40000
11048,Senior Staff,65697
11050,Senior Staff,52251
11051,Senior Engineer,40000
11070,Senior Engineer,40000
11081,Senior Staff,65686
11085,Senior Engineer,66437
11100,Senior Staff,40000
11106,Senior Engineer,71446
11110,Staff,43063
11112,Staff,40000
11113,Senior Staff,66401
11121,Senior Engineer,40000
11133,Technique Leader,40000
11134,Senior Engineer,58731
11137,Engineer,40000
11139,Senior Staff,63596
11146,Senior Staff,96019
11148,Senior Staff,56344
11162,Senior Engineer,69873
11180,Senior Engineer,40000
11197,Senior Staff,88741
11203,Senior Staff,68049
11204,Technique Leader,40000
11207,Engineer,49728
11208,Technique Leader,83660
11211,Senior Engineer,72668
11217,Senior Engineer,40000
11232,Senior Staff,43863
11240,Engineer,61739
11249,Engineer,43324
11251,Senior Staff,69432
11268,Senior Engineer,40000
11275,Senior Engineer,58382
11290,Engineer,65034
11291,Senior Engineer,54307
11295,Senior Staff,66622
11319,Assistant Engineer,40000
11320,Senior Staff,45118
11322,Senior Engineer,43021
11324,Senior Engineer,54288
11338,Senior Staff,82210
11339,Senior Engineer,40000
11347,Senior Engineer,41524
11365,Engineer,56463
11376,Senior Staff,46964
11380,Senior Engineer,53345
11385,Engineer,40000
11386,Senior Engineer,47726
11393,Senior Engineer,40000
11398,Senior Staff,44625
11404,Technique Leader,42907
11415,Engineer,40000
11421,Senior Engineer,52416
11431,Senior Staff,44804
11441,Senior Staff,67352
11449,Senior Engineer,61434
11459,Senior Staff,40000
11461,Senior Engineer,49398
11469,Senior Engineer,44625
11477,Engineer,40000
11501,Senior Staff,48608
11506,Staff,89747
11509,Senior Engineer,40000
11513,Senior Staff,82525
11515,Staff,70182
11518,Senior Staff,40000
11524,Senior Engineer,41081
11527,Staff,60212
11528,Technique Leader,44026
11537,Senior Staff,96023
11554,Staff,46065
11555,Senior Staff,40000
11562,Engineer,82255
11567,Senior Staff,86261
11568,Senior Engineer,54673
11578,Senior Engineer,40000
11588,Senior Staff,40000
11603,Senior Staff,69180
11607,Engineer,49584
11615,Senior Staff,46591
11624,Senior Engineer,42001
11628,Senior Engineer,43966
11640,Senior Engineer,52520
11647,Senior Engineer,40000
11660,Senior Staff,65758
11673,Technique Leader,40000
11676,Engineer,43310
11681,Senior Engineer,40000
11684,Senior Staff,68753
11696,Senior Staff,51633
11705,Senior Staff,79701
11732,Senior Engineer,40000
11735,Senior Staff,40000
11738,Senior Engineer,58432
11746,Senior Staff,55951
11747,Senior Staff,90239
11751,Senior Staff,40000
11764,Senior Engineer,64875
11769,Senior Staff,40000
11772,Engineer,61295
11797,Senior Staff,88050
11805,Assistant Engineer,40000
11810,Senior Engineer,41256
11813,Staff,94687
11817,Senior Staff,50638
11832,Engineer,40000
11838,Staff,68674
11844,Senior Engineer,78049
11853,Senior Staff,61941
11857,Senior Staff,94805
11864,Staff,52517
11871,Senior Engineer,67424
11872,Senior Staff,43159
11883,Engineer,58135
11894,Senior Engineer,56198
11897,Senior Staff,80049
11906,Engineer,81324
11915,Senior Engineer,58042
11931,Senior Staff,73369
11933,Senior Engineer,56130
11949,Technique Leader,40000
11983,Senior Engineer,40000
11987,Senior Staff,40000
11988,Senior Engineer,57652
11993,Senior Staff,56505
12011,Senior Staff,85833
12025,Staff,62126
12033,Engineer,49992
12036,Senior Staff,67143
12037,Senior Staff,47805
12050,Engineer,46704
12052,Technique Leader,40000
12062,Senior Staff,44199
12069,Senior Engineer,51928
12070,Technique Leader,50233
12076,Senior Staff,75381
12082,Senior Staff,72118
12087,Engineer,45432
12089,Senior Staff,46288
12099,Senior Staff,104610
12103,Staff,56188
12112,Senior Staff,76538
12122,Senior Engineer,46398
12123,Senior Staff,64879
12125,Engineer,41215
12128,Staff,81527
12149,Senior Staff,109934
12159,Senior Engineer,61210
12165,Senior Engineer,41951
12173,Senior Engineer,58321
12183,Engineer,40000
12192,Senior Engineer,41625
12205,Senior Engineer,40000
12206,Senior Engineer,40000
12218,Senior Engineer,40000
12221,Senior Engineer,56736
12222,Senior Staff,55840
12223,Senior Engineer,54459
12247,Technique Leader,59183
12249,Senior Engineer,70099
12254,Engineer,44848
12256,Senior Staff,40000
12264,Engineer,51816
12270,Senior Staff,52840
12272,Senior Staff,43811
